G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
0,0000000	0,0369031	0,0251496	0,5628590	0,0250680	0,7556332	0,2173808	0,0178485	0,0345406	0,0299530	0,5119810	0,3161231	0,5929074	0,2233839	0,0475231	0,3996804	0,5267103	0,0126246	0,7434275	0,5700321	0,0005414	0,0036320	0,1079454	0,0194288	0,8627172	0,6915261	0,0372165	0,6122751	0,0204169	0,2753829	0,8465054	0,7921954	0,6835974	0,0954315	0,8088535	0,7847328	0,7371911	0,7257153	0,1465737	0,4014480	0,8074581	0,6592195	0,0599968	0,6907236	0,6029549	0,7045896	0,1661064	0,6482793	0,6322042	0,6669883
0,8676546	0,0000000	0,0382669	0,4566345	0,0467937	0,6468575	0,3166537	0,0166436	0,0264114	0,0597697	0,4898172	0,2786770	0,7427039	0,2818605	0,0333751	0,1591053	0,4543461	0,0275858	0,6823501	0,6773696	0,0009381	0,0081188	0,0913399	0,0186617	0,5679983	0,6547504	0,0533729	0,5081585	0,0157485	0,3157385	0,7839880	0,5681882	0,7326744	0,0553919	0,7584328	0,7569130	0,7534314	0,7586705	0,3322458	0,4474588	0,7696355	0,7778614	0,0775518	0,8095090	0,6919480	0,6810944	0,2710667	0,6479269	0,7620979	0,6436912
0,7557763	0,7291406	0,0000000	0,4724886	0,0386337	0,5851795	0,2610061	0,0222471	0,0128976	0,0364728	0,4929791	0,4358413	0,7258253	0,1073992	0,0389306	0,4404904	0,4882421	0,0255891	0,4888131	0,6808628	0,0013895	0,0078581	0,1604943	0,0675326	0,7625237	0,5970919	0,0450041	0,5908402	0,0306632	0,2601335	0,6195235	0,8387455	0,7715851	0,0990450	0,7903926	0,6773275	0,6716260	0,7288884	0,2221815	0,3869610	0,7032359	0,8687888	0,1539052	0,7498910	0,6638949	0,8238632	0,2374824	0,6351489	0,8415481	0,7192181
0,1039752	0,1336294	0,5786173	0,0000000	0,7020512	0,0313541	0,6217290	0,0030466	0,1676156	0,0315947	0,4928289	0,3930821	0,8251210	0,2097191	0,0302188	0,5204849	0,4583228	0,0388030	0,6520954	0,5564322	0,0003705	0,0205760	0,0943503	0,0372974	0,6855564	0,7304497	0,0310561	0,6248110	0,0102035	0,2865308	0,7847441	0,4553151	0,7144861	0,1126757	0,7442713	0,6375650	0,6468919	0,6636103	0,1841436	0,4613064	0,6575620	0,7943138	0,1067058	0,7951222	0,7507536	0,6080882	0,2265963	0,6631111	0,7981251	0,7292036
0,6828680	0,6879861	0,0571324	0,4285609	0,0000000	0,6430538	0,3172218	0,0399692	0,0151239	0,0378829	0,5877901	0,2350384	0,7836375	0,3589845	0,0529181	0,5368153	0,5174791	0,0299112	0,5681728	0,5931079	0,0007837	0,0148269	0,0997795	0,0165789	0,8042417	0,9359103	0,0563925	0,5050332	0,0166774	0,2768470	0,7230230	0,7249102	0,6927402	0,1103247	0,7792305	0,6773626	0,7868363	0,7139064	0,1813332	0,4155328	0,8379231	0,6729808	0,1291731	0,7272110	0,5671758	0,6883705	0,2499614	0,5992007	0,7246697	0,5933098
0,6873919	0,6540211	0,0587424	0,4412784	0,0449899	0,0000000	0,2935559	0,0365664	0,0121165	0,0239040	0,4027310	0,3960882	0,7407920	0,3248324	0,0227590	0,5533614	0,4830537	0,0054667	0,6165499	0,6997322	0,0000160	0,0011949	0,0986311	0,0280389	0,6589840	0,6751097	0,0651583	0,4858289	0,0091287	0,2610160	0,7201637	0,7551756	0,6344188	0,1416801	0,6965760	0,7360827	0,8841290	0,7701828	0,1692506	0,3069049	0,7112405	0,6889587	0,0925931	0,6816719	0,6507123	0,7353414	0,1316289	0,5913707	0,7584231	0,5927563
0,7348229	0,7163091	0,0256071	0,4241729	0,0318941	0,6470132	0,0000000	0,0290059	0,0085565	0,0324280	0,4540110	0,2648855	0,5679293	0,2308616	0,0589479	0,5354164	0,5137407	0,0144670	0,5172864	0,6675900	0,0000957	0,0028043	0,1452676	0,0363418	0,6540066	0,6524185	0,0751320	0,5995641	0,0183622	0,2685745	0,7546825	0,6110256	0,6630325	0,0614298	0,6776915	0,7115793	0,7331218	0,6894134	0,1898531	0,4537154	0,6136269	0,7165816	0,1172058	0,7747746	0,6519465	0,6342738	0,1409760	0,6145988	0,7295676	0,7237897
0,7699224	0,6347326	0,0378527	0,3058009	0,0263045	0,6261575	0,3487829	0,0000000	0,0265872	0,0248939	0,4051620	0,2872354	0,6930013	0,2849967	0,0423919	0,3932223	0,4005371	0,0155038	0,6779987	0,6404704	0,0005780	0,0046371	0,1123814	0,0167694	0,6633050	0,8213369	0,0560395	0,6770929	0,0215201	0,2129787	0,8226766	0,7125510	0,7290708	0,0797353	0,8209523	0,8006804	0,7075168	0,6825157	0,2731725	0,3915528	0,7440581	0,7263046	0,0899936	0,7744140	0,6950231	0,6645224	0,1883088	0,5205154	0,7238560	0,9093470
0,7133544	0,5789757	0,0418942	0,4058278	0,0573623	0,5432429	0,2704281	0,0269861	0,0000000	0,1046402	0,4545247	0,3430406	0,6421491	0,3136273	0,0558684	0,3893335	0,4781547	0,0165015	0,5622238	0,7578931	0,0006053	0,0068580	0,0728420	0,0146398	0,8228544	0,7168328	0,0998682	0,5106969	0,0191189	0,2745068	0,7121728	0,7690481	0,7127452	0,1119926	0,6972029	0,7587350	0,7010972	0,7121575	0,1658684	0,5240914	0,7729881	0,6421023	0,0830286	0,7042632	0,6497041	0,7413880	0,3022004	0,6301219	0,6340475	0,5845933
0,6905041	0,6411781	0,0388244	0,5676988	0,0229237	0,6330972	0,2519416	0,0057146	0,0241762	0,0000000	0,5027572	0,4010544	1,0000000	0,0314195	0,0378075	0,5006477	0,3514175	0,0084826	0,6551664	0,7040801	0,0012079	0,0158888	0,1035795	0,3335424	0,8216951	0,7788063	0,0285677	0,5251613	0,0091248	0,2916620	0,7420271	0,9239459	0,8374323	0,1105441	0,7287692	0,7028175	0,6324576	0,7094273	0,3678947	0,4875674	0,7325042	0,6987118	0,0431534	0,7908631	0,7178059	0,7286711	0,1712432	0,6880196	0,7667924	0,6502766
