G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
0,0000000	0,7377693	0,6549508	0,6843379	0,0277786	0,2642636	0,0469089	0,1531640	0,0264062	0,4359147	0,7715237	0,3754853	0,8266137	0,0241384	0,0151887	0,6440152	0,5591798	0,7402259	0,0027956	1,0000000	0,0327941	0,9092359	0,8207302	0,5779198	0,2378970	0,5676097	0,6463451	0,1941886	0,6115115	0,0104764	0,3999423	0,2484865	0,6854288	0,1592772	0,2595650	0,0324674	0,0152305	0,8188199	0,7551916	0,0316661	0,0065879	0,7338282	0,1131080	0,1254437	0,6298790	0,7635560	0,0497688	0,6522266	0,0281311	0,2643355
0,6009693	0,0000000	0,0386808	0,5729037	0,0210149	0,7300012	0,0339539	0,2147724	0,0440020	0,4605348	0,7048827	0,4413615	0,7364790	0,0192478	0,0328989	0,6236285	0,6253377	0,7079714	0,0056547	0,8241901	0,0399172	0,7682674	0,5151906	0,6628289	0,3269201	0,7292790	0,6863690	0,1637895	0,7045411	0,0049426	0,5226284	0,2888812	0,7510620	0,1884428	0,2227569	0,0288672	0,0200548	0,7521403	0,7793134	0,0182341	0,0165969	0,7188958	0,0929791	0,1272185	0,5994215	0,7019565	0,0575466	0,7940907	0,0615958	0,2751694
0,0223062	0,6862957	0,0000000	0,6024787	0,0205401	0,2493927	0,0201191	0,1901296	0,0291523	0,4965746	0,8089002	0,5022848	0,8527574	0,0263463	0,0177323	0,7451904	0,6629724	0,5938984	0,0043802	0,6117602	0,0345413	0,7596955	0,7290152	0,6786969	0,2522118	0,7841323	0,6657276	0,1453462	0,8464396	0,0110756	0,5387387	0,2409439	0,7323789	0,1865529	0,2603466	0,0415958	0,0039232	0,7850127	0,7015490	0,0137452	0,0044762	0,7425212	0,0808429	0,1633692	0,6200272	0,8275050	0,0529667	0,7778392	0,0347553	0,1671733
0,0763236	0,0620063	0,7900923	0,0000000	0,7945170	0,7621114	0,7156136	0,9245323	0,0534020	0,5128074	0,8499841	0,0038597	0,7454456	0,8286903	0,0527996	0,6340160	0,0067678	0,6682138	0,0081342	0,7148711	0,0427320	0,7301141	0,7632338	0,7253873	0,2902436	0,6420687	0,7151684	0,2028964	0,7990532	0,0186982	0,4305878	0,2087263	0,8784073	0,2600777	0,3294457	0,0348625	0,0141143	0,7729632	0,6854832	0,0334588	0,0114778	0,7041740	0,0946803	0,1278566	0,5801908	0,6518717	0,0562940	0,7770591	0,0279456	0,2099729
0,0340097	0,6841438	0,7433669	0,6554802	0,0000000	0,2269298	0,0456644	0,1450717	0,0404141	0,5419711	0,6291967	0,5285842	0,7235627	0,0089555	0,0197451	0,6726298	0,6462335	0,6104825	0,0036234	0,8988694	0,0655326	0,6302300	0,6753545	0,6925910	0,2300519	0,8105678	0,6724355	0,4619776	0,6821553	0,0134146	0,5382648	0,2525653	0,7729970	0,1899264	0,2794657	0,0278262	0,0081406	0,7250783	0,8543340	0,0211970	0,0100511	0,7144425	0,0869688	0,2289263	0,6303863	0,7390914	0,0892605	0,6563218	0,0608455	0,1522844
0,0107260	0,7446898	0,6898003	0,5969423	0,0394329	0,0000000	0,0290632	0,1449051	0,0428522	0,5222774	0,7019820	0,4787293	0,8431039	0,0244809	0,0305539	0,6446536	0,7386517	0,6577189	0,0032601	0,6939411	0,0229392	0,8111256	0,6494848	0,6124599	0,1851092	0,7478811	0,4870349	0,1271546	0,6753418	0,0109349	0,5758885	0,1961327	0,7984884	0,1757411	0,2398257	0,0274909	0,0192646	0,7705880	0,7984343	0,0141915	0,0294393	0,7911889	0,0915878	0,1529267	0,5000725	0,6844609	0,0777448	0,7852504	0,0502394	0,1938046
0,0441044	0,7275679	0,7264895	0,5777657	0,0264595	0,1927418	0,0000000	0,2040183	0,0508871	0,2815451	0,6212899	0,5186246	0,8177634	0,0257576	0,0447428	0,6498825	0,7506519	0,6890037	0,0015575	0,6981655	0,0188705	0,7026311	0,6937040	0,5711942	0,1855995	0,8476568	0,6342270	0,1877868	0,8563272	0,0046051	0,6026341	0,2756534	0,7329353	0,1837449	0,2048133	0,0281592	0,0114459	0,8086921	0,6150425	0,0294328	0,0038499	0,7452551	0,0857484	0,1629789	0,6036318	0,7305803	0,0515127	0,8477864	0,0386444	0,1841823
0,0374462	0,6516064	0,7203842	0,5866521	0,0208113	0,2415106	0,0472411	0,0000000	0,0316473	0,5416657	0,6514593	0,4989973	0,6686573	0,0251952	0,0297892	0,7475384	0,8580198	0,7035357	0,0064911	0,6712253	0,0342501	0,8430095	0,6371590	0,5797822	0,2076549	0,6563499	0,5615838	0,4166834	0,8023497	0,0342424	0,4823301	0,2823958	0,7927046	0,2064791	0,2321225	0,0273580	0,0117103	0,6869517	0,7344396	0,0176638	0,0114534	0,7948589	0,1269812	0,1631639	0,6224782	0,6974089	0,0796155	0,7719147	0,0767634	0,2283001
0,0443883	0,9197746	0,7540458	0,7403944	0,0477086	0,2508276	0,0239288	0,8388732	0,0000000	0,0087184	0,6986708	0,4191840	0,7142123	0,0240509	0,0220175	0,8713341	0,7701195	0,6320615	0,0013020	0,5902128	0,0066414	0,6646198	0,6816803	0,7518917	0,2698773	0,9642157	0,5504884	0,0628560	0,8136519	0,0292844	0,5943569	0,1945588	0,7584978	0,1389212	0,2552989	0,0304892	0,0100139	0,6822547	0,6268012	0,0209873	0,0220084	0,7743578	0,1208873	0,1736897	0,5782232	0,6339878	0,0801696	0,7063536	0,0502403	0,1906887
0,0454787	0,9325685	0,8097876	0,5593002	0,0643130	0,2846325	0,0201109	0,1814812	0,0233352	0,0000000	0,6464069	0,5776474	0,7171113	0,0082997	0,0134019	0,7999470	0,7023214	0,5732272	0,0031654	0,7697923	0,0325425	0,6928734	0,7818471	0,7031823	0,2058424	0,8056123	0,5760429	0,2842145	0,6056822	0,0151921	0,4271303	0,3050858	0,7347862	0,1844667	0,2242310	0,0361589	0,0252719	0,7263164	0,8881716	0,0154368	0,0207394	0,6448973	0,1018090	0,1493040	0,6189776	0,6983646	0,0475904	0,7677842	0,0683658	0,2461407
